spanish,english,seen_freq
se reúnen,meet,0
raíz,root,0
comprar,buy,0
aumentar,raise,0
resolver,solve,0
de metal,metal,0
si,whether,0
empujar,push,0
siete,seven,0
párrafo,paragraph,0
tercero,third,0
deberá,shall,0
en espera,held,0
pelo,hair,0
describir,describe,0
cocinero,cook,0
piso,floor,0
ya sea,either,0
resultado,result,0
quemar,burn,0
colina,hill,0
seguro,safe,0
gato,cat,0
siglo,century,0
considerar,consider,0
tipo,type,0
ley,law,0
bit,bit,0
costa,coast,0
copia,copy,0
frase,phrase,0
silencio,silent,0
de altura,tall,0
arena,sand,0
suelo,soil,0
rollo,roll,0
temperatura,temperature,0
dedo,finger,0
industria,industry,0
valor,value,0
lucha,fight,0
mentira,lie,0
batir,beat,0
excitar,excite,0
naturales,natural,0
vista,view,0
sentido,sense,0
de capital,capital,0
no lo hará,won’t,0
silla,chair,0
peligro,danger,0
fruta,fruit,0
rica,rich,0
de espesor,thick,0
soldado,soldier,0
proceso,process,0
operar,operate,0
práctica,practice,0
separada,separate,0
difícil,difficult,0
médico,doctor,0
por favor,please,0
proteger,protect,0
mediodía,noon,0
de cultivos,crop,0
moderno,modern,0
elemento,element,0
golpear,hit,0
estudiante,student,0
esquina,corner,0
partido,party,0
suministro,supply,0
cuya,whose,0
localizar,locate,0
anillo,ring,0
carácter,character,0
insecto,insect,0
capturado,caught,0
período,period,0
indicar,indicate,0
Radio,radio,0
habló,spoke,0
átomo,atom,0
humana,human,0
historia,history,0
efecto,effect,0
eléctrica,electric,0
esperar,expect,0
hueso,bone,0
ferrocarril,rail,0
imaginar,imagine,0
proporcionar,provide,0
acuerdo,agree,0
"por tanto,",thus,0
suave,gentle,0
mujer,woman,0
capitán,captain,0
adivinar,guess,0
necesario,necessary,0
agudo,sharp,0
ala,wing,0
crear,create,0
vecino,neighbor,0
lavado,wash,0
bate,bat,0
más bien,rather,0
multitud,crowd,0
maíz,corn,0
comparar,compare,0
poema,poem,0
cadena,string,0
campana,bell,0
dependerá,depend,0
carne,meat,0
frotar,rub,0
tubo,tube,0
famoso,famous,0
dólar,dollar,0
corriente,stream,0
miedo,fear,0
vista,sight,0
delgado,thin,0
triángulo,triangle,0
planeta,planet,0
prisa,hurry,0
jefe,chief,0
colonia,colony,0
reloj,clock,0
mina,mine,0
empate,tie,0
entrar,enter,0
importante,major,0
fresco,fresh,0
búsqueda,search,0
enviar,send,0
amarillo,yellow,0
pistola,gun,0
permitir,allow,0
print,print,0
muerto,dead,0
lugar,spot,0
desierto,desert,0
traje,suit,0
actual,current,0
ascensor,lift,0
rosa,rose,0
llegar,arrive,0
master,master,0
pista,track,0
padre,parent,0
orilla,shore,0
división,division,0
hoja,sheet,0
sustancia,substance,0
favorecer,favor,0
conectar,connect,0
mensaje,post,0
pasar,spend,1000
acorde,chord,0
grasa,fat,0
contento,glad,0
originales,original,0
cuota,share,0
estación,station,0
papá,dad,0
pan,bread,0
cobrar,charge,0
adecuada,proper,0
barra,bar,0
oferta,offer,0
segmento,segment,0
esclavo,slave,0
pato,duck,0
instantánea,instant,0
mercado,market,0
grado,degree,0
poblar,populate,0
polluelo,chick,0
querido,dear,0
enemigo,enemy,0
responder,reply,0
bebida,drink,0
producirse,occur,0
apoyo,support,0
discurso,speech,0
naturaleza,nature,0
alcance,range,0
vapor,steam,0
movimiento,motion,0
camino,path,0
líquido,liquid,0
log,log,0
significado,meant,0
cociente,quotient,0
dientes,teeth,0
concha,shell,0
cuello,neck,0
oxígeno,oxygen,0
azúcar,sugar,0
muerte,death,1
bastante,pretty,0
habilidad,skill,0
mujeres,women,0
temporada,season,0
solución,solution,0
imán,magnet,0
plata,silver,0
gracias,thank,0
rama,branch,1
partido,match,0
sufijo,suffix,0
especialmente,especially,0
higo,fig,0
miedo,afraid,0
enorme,huge,0
hermana,sister,0
acero,steel,0
discutir,discuss,0
adelante,forward,0
similar,similar,0
guiar,guide,0
experiencia,experience,0
puntuación,score,0
manzana,apple,0
comprado,bought,0
llevado,led,0
pitch,pitch,0
abrigo,coat,0
masa,mass,0
tarjeta,card,0
banda,band,1
cuerda,rope,0
deslizamiento,slip,0
ganar,win,0
soñar,dream,0
noche,evening,0
condición,condition,0
pienso,feed,0
herramienta,tool,0
totales,total,0
básico,basic,1000
olor,smell,0
valle,valley,0
ni,nor,0
doble,double,0
asiento,seat,0
continuar,continue,0
bloque,block,0
tabla,chart,0
sombrero,hat,0
vender,sell,0
éxito,success,0
empresa,company,0
restar,subtract,0
evento,event,0
"particular,",particular,0
acuerdo,deal,0
nadar,swim,0
plazo,term,0
opuesta,opposite,0
esposa,wife,0
zapato,shoe,0
hombro,shoulder,0
propagación,spread,0
organizar,arrange,0
campamento,camp,0
inventar,invent,0
algodón,cotton,0
nacido,born,0
determinar,determine,0
cuarto de galón,quart,0
nueve,nine,0
camión,truck,0
ruido,noise,0
nivel,level,0
oportunidad,chance,0
reunir,gather,0
tienda,shop,0
tramo,stretch,0
lanzar,throw,0
brillo,shine,0
propiedad,property,0
columna,column,0
molécula,molecule,0
seleccionar,select,0
mal,wrong,0
gris,gray,0
repita,repeat,0
exigir,require,0
amplio,broad,0
preparar,prepare,0
sal,salt,0
nariz,nose,0
plurales,plural,0
cólera,anger,0
reclamación,claim,0
continente,continent,0
